Emotion;Emotion_Value;File;Predominant_Color;Number_Of_Colors;Surface_Colored
Negative;1;audio_275.wav;dimgray;3;3.9
Negative;1;audio_276.wav;blue;1;2.4
Negative;1;audio_277.wav;red;1;3.1
Negative;1;audio_278.wav;lime;4;4.6
Negative;1;audio_279.wav;black;2;2.6
Negative;1;audio_28.wav;dimgray;5;1.6
Negative;1;audio_280.wav;red;3;2.7
Negative;1;audio_281.wav;blue;9;1.4
Negative;1;audio_282.wav;palevioletred;9;10.7
Negative;1;audio_283.wav;lime;5;3.6
Negative;1;audio_284.wav;lime;4;6.2
Negative;1;audio_285.wav;sienna;3;0.6
Negative;1;audio_286.wav;red;4;1.8
Negative;1;audio_287.wav;dimgray;2;3.9
Negative;1;audio_288.wav;red;2;3.6
Negative;1;audio_289.wav;lime;5;23.4
Negative;1;audio_29.wav;steelblue;6;4.2
Negative;1;audio_290.wav;blue;8;8.3
Negative;1;audio_291.wav;blue;4;0.9
Negative;1;audio_292.wav;blue;5;11.9
Negative;1;audio_293.wav;lime;4;10.8
Negative;1;audio_294.wav;lime;3;3.8
Negative;1;audio_296.wav;lime;3;8.3
Negative;1;audio_297.wav;black;4;2.1
Negative;1;audio_298.wav;yellow;7;4.3
Negative;1;audio_299.wav;lime;3;10.6
Positive;0;audio_3.wav;darksalmon;6;23.8
Negative;1;audio_30.wav;blue;6;15.8
Negative;1;audio_300.wav;lime;4;9.5
Negative;1;audio_301.wav;lightslategray;1;2.1
Negative;1;audio_302.wav;lime;7;29.2
Positive;0;audio_303.wav;yellow;7;23.5
Positive;0;audio_304.wav;lightslategray;6;7.6
Positive;0;audio_305.wav;lime;5;20.8
Positive;0;audio_306.wav;darksalmon;4;21.9
Negative;1;audio_307.wav;lime;4;7.8
Negative;1;audio_308.wav;yellowgreen;7;19.5
Negative;1;audio_309.wav;lime;1;1.8
Positive;0;audio_31.wav;palevioletred;7;6.4
Negative;1;audio_310.wav;blue;5;24.8
Negative;1;audio_311.wav;lime;2;2.4
Negative;1;audio_312.wav;yellow;1;2.2
Negative;1;audio_313.wav;blue;6;8.1
Negative;1;audio_314.wav;black;4;5.1
Negative;1;audio_315.wav;blue;5;2.6
Negative;1;audio_316.wav;red;2;10.4
Negative;1;audio_317.wav;blue;1;4.9
Negative;1;audio_318.wav;blue;1;1.6
Negative;1;audio_319.wav;blue;2;17.3
Positive;0;audio_32.wav;blue;5;17.4
Negative;1;audio_320.wav;darksalmon;6;8.2
Negative;1;audio_321.wav;yellow;1;2.2
Negative;1;audio_322.wav;black;5;4.8
Negative;1;audio_323.wav;black;1;4.4
Negative;1;audio_324.wav;blue;1;5.9
Negative;1;audio_325.wav;red;2;4.5
Negative;1;audio_326.wav;lightslategray;6;7.8
Negative;1;audio_327.wav;steelblue;7;15.0
Negative;1;audio_328.wav;yellow;7;4.1
Negative;1;audio_329.wav;blue;4;2.8
Negative;1;audio_33.wav;steelblue;6;9.6
Negative;1;audio_330.wav;indianred;4;7.3
Negative;1;audio_331.wav;lime;6;18.5
Negative;1;audio_332.wav;darkturquoise;11;14.9
Negative;1;audio_333.wav;red;4;3.6
Negative;1;audio_334.wav;lime;11;42.2
Negative;1;audio_335.wav;blue;1;4.3
Negative;1;audio_336.wav;blue;5;19.1
Negative;1;audio_337.wav;blue;4;4.3
Negative;1;audio_338.wav;yellow;1;2.8
Negative;1;audio_339.wav;blue;1;3.0
Positive;0;audio_34.wav;coral;7;5.1
Negative;1;audio_340.wav;lightslategray;4;4.6
Positive;0;audio_341.wav;lime;5;4.9
Positive;0;audio_342.wav;red;6;24.1
Positive;0;audio_343.wav;darkturquoise;8;21.8
Negative;1;audio_344.wav;black;6;0.8
Positive;0;audio_345.wav;steelblue;3;13.8
Negative;1;audio_346.wav;red;5;82.7
Positive;0;audio_347.wav;black;5;6.8
Negative;1;audio_348.wav;black;1;2.2
Negative;1;audio_349.wav;sienna;5;18.1
Negative;1;audio_35.wav;black;7;13.9
Negative;1;audio_350.wav;gold;11;35.4
Positive;0;audio_351.wav;lime;2;17.0
Positive;0;audio_352.wav;black;1;13.3
Negative;1;audio_353.wav;palevioletred;9;19.4
Negative;1;audio_354.wav;dimgray;10;32.0
Positive;0;audio_355.wav;yellow;5;19.9
Positive;0;audio_356.wav;black;2;13.4
Positive;0;audio_357.wav;blue;1;0.6
Positive;0;audio_358.wav;lime;2;37.3
Positive;0;audio_359.wav;lime;3;19.2
Positive;0;audio_36.wav;yellow;8;21.7
Negative;1;audio_360.wav;lime;1;2.7
Positive;0;audio_361.wav;red;2;18.2
Negative;1;audio_362.wav;yellow;2;9.5
Negative;1;audio_363.wav;lime;4;14.7
Positive;0;audio_364.wav;palevioletred;3;15.9
Negative;1;audio_365.wav;red;2;4.8
Negative;1;audio_366.wav;black;1;18.3
Positive;0;audio_367.wav;coral;11;57.5
Positive;0;audio_368.wav;lime;7;56.4
Positive;0;audio_369.wav;black;5;64.8
Positive;0;audio_37.wav;darksalmon;8;26.9
Negative;1;audio_370.wav;yellow;9;8.8
Negative;1;audio_371.wav;lightslategray;1;13.0
Negative;1;audio_372.wav;darkgray;5;23.6
Negative;1;audio_373.wav;yellow;9;22.8
Negative;1;audio_374.wav;dimgray;10;26.5
Negative;1;audio_375.wav;blue;2;7.1
Negative;1;audio_376.wav;palevioletred;5;2.8
Negative;1;audio_377.wav;blue;5;20.9
